Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Sales_USD,Number_of_Sales
2017-06-22,0,0,0,0
2017-06-23,1020,19,1020,19
2017-06-24,2261,40,1240,21
2017-06-25,2778,53,517,13
2017-06-26,3203,67,424,14
2017-06-27,5296,100,2092,33
2017-06-28,6543,115,1247,15
2017-06-29,8729,153,2185,38
2017-06-30,10437,174,1708,21
2017-07-01,13578,184,3140,10
2017-07-02,16502,215,2924,31
2017-07-03,23752,266,7249,51
2017-07-04,37258,324,13505,58
2017-07-05,39098,342,1840,18
2017-07-06,46120,365,7022,23
2017-07-07,53203,402,7082,37
2017-07-08,56431,432,3227,30
2017-07-09,57400,444,969,12
2017-07-10,62310,461,4910,17
2017-07-11,68019,504,5709,43
2017-07-12,69798,521,1778,17
2017-07-13,75099,552,5300,31
2017-07-14,75547,559,448,7
2017-07-15,76097,564,549,5
2017-07-16,76416,567,319,3
2017-07-17,77869,572,1452,5
2017-07-18,80790,602,2921,30
2017-07-19,84227,633,3436,31
2017-07-20,86580,654,2352,21
2017-07-21,88715,675,2135,21
2017-07-22,89759,688,1044,13
2017-07-23,90181,694,421,6
2017-07-24,91308,709,1126,15
2017-07-25,93077,717,1769,8
2017-07-26,93392,722,314,5
2017-07-27,93504,724,111,2
2017-07-28,93878,729,374,5
2017-07-29,94885,737,1006,8
2017-07-30,96364,753,1478,16
2017-07-31,96577,755,213,2
2017-08-01,96686,757,109,2
2017-08-02,97212,758,525,1
2017-08-03,101812,779,4599,21
2017-08-04,101812,779,0,0
2017-08-05,103331,781,1518,2
2017-08-06,103331,781,0,0
2017-08-07,103407,782,76,1
2017-08-08,104405,787,997,5
2017-08-09,104672,790,267,3
2017-08-10,104853,792,181,2
2017-08-11,105512,800,659,8
2017-08-12,106551,817,1038,17
2017-08-13,107356,824,805,7
2017-08-14,107860,827,503,3
2017-08-15,108121,831,260,4
2017-08-16,108331,833,210,2
2017-08-17,108481,835,150,2
2017-08-18,108570,836,88,1
2017-08-19,108689,837,118,1
2017-08-20,108851,838,162,1
2017-08-21,109644,846,792,8
2017-08-22,109731,847,87,1
2017-08-23,109886,849,155,2
2017-08-24,109886,849,0,0
2017-08-25,110143,852,256,3
2017-08-26,110242,853,98,1
2017-08-27,110242,853,0,0
2017-08-28,111388,862,1145,9
2017-08-29,111480,863,91,1
2017-08-30,111654,865,174,2
2017-08-31,111757,866,103,1
2017-09-01,112263,871,506,5
2017-09-02,112333,874,69,3
2017-09-03,112333,874,0,0
2017-09-04,112647,877,314,3
2017-09-05,112647,877,0,0
2017-09-06,112647,877,0,0
2017-09-07,112647,877,0,0
2017-09-08,112723,878,76,1
2017-09-09,112723,878,0,0
2017-09-10,112925,881,202,3
2017-09-11,113065,883,139,2
2017-09-12,113146,885,81,2
2017-09-13,113146,885,0,0
2017-09-14,113146,885,0,0
2017-09-15,113146,885,0,0
2017-09-16,113217,886,70,1
2017-09-17,113351,888,133,2
2017-09-18,113414,889,63,1
2017-09-19,113793,893,378,4
2017-09-20,114166,896,372,3
2017-09-21,114374,900,208,4
2017-09-22,114445,901,71,1
2017-09-23,114689,905,243,4
2017-09-24,114745,906,56,1
2017-09-25,114745,906,0,0
2017-09-26,114745,906,0,0
2017-09-27,115168,910,423,4
2017-09-28,115204,911,36,1
2017-09-29,115519,918,314,7
2017-09-30,115679,928,160,10
2017-10-01,116129,929,449,1
2017-10-02,116129,929,0,0
2017-10-03,116129,929,0,0
2017-10-04,116187,930,58,1
2017-10-05,116187,930,0,0
2017-10-06,116187,930,0,0
2017-10-07,116187,930,0,0
2017-10-08,116280,931,93,1
2017-10-09,116307,932,26,1
2017-10-10,116307,932,0,0
2017-10-11,116374,933,66,1
2017-10-12,116413,934,39,1
2017-10-13,116768,938,354,4
2017-10-14,117023,942,254,4
2017-10-15,117200,945,177,3
